Date,FedRate,10Y_Yield
2023-06-01,5.08,3.75
2023-07-01,5.12,3.9
2023-08-01,5.33,4.17
2023-09-01,5.33,4.38
2023-10-01,5.33,4.8
2023-11-01,5.33,4.5
2023-12-01,5.33,4.02
2024-01-01,5.33,4.06
2024-02-01,5.33,4.21
2024-03-01,5.33,4.21
2024-04-01,5.33,4.54
2024-05-01,5.33,4.48
2024-06-01,5.33,4.31
2024-07-01,5.33,4.25
2024-08-01,5.33,3.87
2024-09-01,5.13,3.72
2024-10-01,4.83,4.1
2024-11-01,4.64,4.36
2024-12-01,4.48,4.39
2025-01-01,4.33,4.63
2025-02-01,4.33,4.45
2025-03-01,4.33,4.28
2025-04-01,4.33,4.28
2025-05-01,4.33,4.42
2025-06-01,4.33,4.38
